band_id,band_name,num_members,style
0,Cantankerous Kibosh,10,Pop
1,Flummoxed Bandwagon,6,Folk
2,Wuthering Kibosh,9,Hip-Hop
3,Apoplectic Doldrums,4,Rock
4,Toothsome Epiphany,8,Rock
5,Lugubrious Sobriquet,5,Pop
6,Pulchritudinous Pedagogue,4,Hip-Hop
7,Cantankerous Gambit,10,Hip-Hop
8,Apoplectic Jabberwocky,7,Hip-Hop
9,Mellifluous Sobriquet,5,Hip-Hop
10,Orotund Jabberwocky,10,Rock
11,Zigzag Sobriquet,5,Folk
12,Indomitable Typhoon,4,Jazz
13,Extraterrestrial Misanthrope,5,Pop
14,Blubbering Interloper,5,Rock
15,Flummoxed Loophole,10,Jazz
16,Harebrained Typhoon,8,Jazz
17,Slipshod Windbag,10,Rock
18,Lugubrious Typhoon,4,Hip-Hop
19,Lugubrious Ruckus,6,Hip-Hop
20,Extraterrestrial Ruckus,8,Rock
21,Extraterrestrial Pedagogue,8,Hip-Hop
22,Orotund Flummery,9,Pop
23,Flummoxed Flummery,5,Folk
24,Gobsmacked Interloper,10,Rock
