venue_id,venue_name,size,reverberance_seconds
0,The Extraterrestrial Gambit,Large,1.83
1,The Mellifluous Jabberwocky,Medium,1.7
2,The Diaphanous Gambit,Large,2.1
3,The Pulchritudinous Pedagogue,Large,1.59
4,The Apoplectic Ruckus,Medium,1.47
5,The Zigzag Flummery,Large,1.98
6,The Extraterrestrial Jabberwocky,Large,1.39
7,The Gobsmacked Nudnik,Medium,1.03
8,The Slipshod Epiphany,Small,1.01
9,The Quiddling Doldrums,Medium,1.86
10,The Mellifluous Epiphany,Medium,1.65
11,The Lugubrious Halfwit,Large,2.77
12,The Cantankerous Halfwit,Small,1.04
13,The Extraterrestrial Doldrums,Small,0.68
14,The Mellifluous Doldrums,Medium,1.93
15,The Blubbering Epiphany,Large,1.45
16,The Orotund Doldrums,Medium,1.51
17,The Diaphanous Typhoon,Medium,1.92
18,The Pulchritudinous Kibosh,Small,1.07
19,The Quiddling Concoction,Medium,1.16
20,The Wuthering Flummery,Medium,1.38
21,The Toothsome Halfwit,Small,1.14
22,The Harebrained Misanthrope,Medium,1.66
23,The Quiddling Nudnik,Small,0.85
24,The Extraterrestrial Sobriquet,Medium,1.54
25,The Lugubrious Concoction,Small,0.96
26,The Harebrained Concoction,Small,0.59
27,The Zigzag Doldrums,Medium,1.87
28,The Cantankerous Bandwagon,Medium,1.71
29,The Pulchritudinous Doldrums,Large,1.92
30,The Orotund Oxymoron,Medium,1.16
31,The Harebrained Kibosh,Medium,1.01
32,The Quiddling Ruckus,Small,0.94
33,The Harebrained Flummery,Medium,1.64
34,The Vainglorious Doldrums,Medium,1.71
35,The Gobsmacked Sobriquet,Medium,1.27
36,The Quiddling Concoction,Small,0.98
37,The Extraterrestrial Windbag,Small,1.01
38,The Blubbering Loophole,Medium,1.59
39,The Ragtag Sobriquet,Medium,1.37
40,The Toothsome Loophole,Large,2.33
41,The Pulchritudinous Concoction,Large,2.94
42,The Zigzag Concoction,Small,0.86
43,The Zigzag Epiphany,Small,1.0
44,The Orotund Typhoon,Large,2.01
45,The Vainglorious Halfwit,Large,2.24
46,The Diaphanous Epiphany,Small,1.03
47,The Vainglorious Ruckus,Medium,1.22
48,The Ragtag Gambit,Large,1.87
49,The Vainglorious Nudnik,Small,1.0
50,The Diaphanous Epiphany,Large,2.68
51,The Mellifluous Loophole,Large,2.09
52,The Wuthering Halfwit,Medium,1.59
53,The Apoplectic Jabberwocky,Large,1.86
54,The Flummoxed Ruckus,Small,0.79
55,The Slipshod Halfwit,Small,0.69
56,The Vainglorious Epiphany,Large,1.66
57,The Gobsmacked Sobriquet,Medium,1.4
58,The Wuthering Epiphany,Medium,0.86
59,The Diaphanous Nudnik,Large,1.29
60,The Flummoxed Pedagogue,Large,1.47
61,The Wuthering Interloper,Small,1.26
62,The Apoplectic Nudnik,Small,1.11
63,The Gobsmacked Windbag,Large,2.19
64,The Cantankerous Sobriquet,Small,0.98
65,The Mellifluous Kibosh,Medium,2.01
66,The Quiddling Concoction,Large,1.82
67,The Toothsome Loophole,Small,1.24
68,The Extraterrestrial Jabberwocky,Small,1.08
69,The Slipshod Sobriquet,Large,2.85
70,The Slipshod Interloper,Large,2.91
71,The Indomitable Bandwagon,Large,2.28
72,The Wuthering Nudnik,Medium,1.95
73,The Mellifluous Flummery,Small,1.25
74,The Mellifluous Bandwagon,Small,1.15
75,The Pulchritudinous Pedagogue,Large,2.1
76,The Ragtag Nudnik,Medium,2.01
77,The Gobsmacked Windbag,Large,1.97
78,The Blubbering Loophole,Medium,2.16
79,The Mellifluous Loophole,Medium,2.2
80,The Cantankerous Oxymoron,Small,1.0
81,The Orotund Doldrums,Small,1.04
82,The Toothsome Typhoon,Medium,1.39
83,The Gobsmacked Gambit,Medium,1.58
84,The Orotund Concoction,Small,1.12
85,The Extraterrestrial Flummery,Small,1.08
86,The Ragtag Loophole,Large,1.08
87,The Blubbering Anemone,Small,1.15
88,The Slipshod Jabberwocky,Small,0.83
89,The Wuthering Anemone,Medium,1.41
90,The Zigzag Sobriquet,Small,1.03
91,The Toothsome Typhoon,Medium,1.98
92,The Quiddling Ruckus,Large,1.36
93,The Mellifluous Sobriquet,Large,1.8
94,The Wuthering Windbag,Large,1.44
95,The Vainglorious Nudnik,Large,3.06
96,The Pulchritudinous Gambit,Medium,1.81
97,The Toothsome Windbag,Medium,1.11
98,The Slipshod Epiphany,Medium,1.12
99,The Toothsome Interloper,Small,1.26
